Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Laos,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Lebanon,LBN,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Liberia,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Libya,LBY,8.728652818,8.2,8.1,12,11,11,5.4,3,3.3,5.7,5.1,5.4,5.7,6,7.2,6.8,7.2,8.5,8.3,8.3,8.3,8.8,8.7,8.6,8.6,8.7,11,9.5,8,8.8,5.5,1.1,4.9,NA,NA
Saint Lucia,LCA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Sri Lanka,LKA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Lesotho,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,0.8,2.2,2.1,3.2,5.8,6,4.5,2.9,4,9,7.7,7,8.5,8.5,7,4.7,7.8,4.9,5.6,5.1,4.5,NA,NA
Luxembourg,LUX,0.087814689,0.058530399,0.029277926,0.029277926,0.029277926,0.029277926,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.0633879781420765,0,0.0317808219178082,0,0,0,NA
Latvia,LVA,--,--,--,--,--,--,--,--,--,--,--,--,0.03169,0.06356,0,0,0,0,0,0,0,0,0,0.2,0.3,0.5,0.5,1.3,1.4,1.9,2.5,2.7,2.6,NA,NA
Macau,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Morocco,MAR,0.451482042,0.3,0.2,0.2,0.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
