Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Papua New Guinea,PNG,,,,,,,,,,,,431.846,115001.093,272204.422,237387.578,216286.46,222616.795,173029.168,170919.056,209956.124
Poland,POL,15742.582,15825.839,11605.615,9495.503,9495.503,9495.503,9495.503,6330.335,6330.335,6330.335,4220.224,6330.335,7385.391,10550.559,11605.615,10550.559,11605.615,13715.727,16880.894,20046.062
Palestinian Territories,PSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,
Qatar,QAT,1047647.821,901017.739,734318.906,656244.77,878861.565,669960.497,684731.279,652024.546,772300.919,845099.776,903127.85,878861.565,943219.975,918953.689,923173.913,983312.099,1137350.26,1223864.844,1548822.061,1479188.372
Romania,ROU,531204.018,535968.397,539133.565,533858.285,528583.006,489545.938,491656.049,478995.379,430462.807,400921.242,362939.23,311241.491,303856.099,296470.708,307021.267,300690.932,301745.987,298580.82,293305.54,278534.758
Russia,RUS,--,--,--,--,--,--,--,--,--,--,--,--,17329293.158,15239227.42,13891921.035,13574349.209,13283153.781,13405540.265,13255722.328,13765314.327
Saudi Arabia,SAU,22692672.357,22337643.515,14754956.762,11575018.279,10641293.807,7710348.517,11083362.23,9706514.28,11606669.956,11525430.652,14588257.929,18468753.53,19015272.486,18657608.536,18480359.144,18733572.56,18754673.678,19031098.324,19092291.566,17827279.542
Former Serbia and Montenegro,SCG,--,--,--,--,--,--,--,--,--,--,--,--,51697.739,51697.739,53807.851,49587.627,49587.627,45367.404,40092.124,40092.124
Sudan,SDN,,,,,,,,,,,,,588.957,587.348,195.783,391.565,4220.224,9495.503,20046.062,135047.155
Serbia,SRB,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Sudan,SSD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,SUN,26579230.393,26832181.649,26973559.139,27108606.295,26931356.903,26232909.898,26934522.071,27285855.686,27367094.99,26527270.494,24851841.725,22625673.776,--,--,--,--,--,--,--,--
Suriname,SUR,,,,,,2110.112,5275.28,5275.28,7385.391,9495.503,9495.503,8440.447,12660.671,12660.671,14770.783,16880.894,17935.95,12660.671,16880.894,24266.286
Slovakia,SVK,--,--,--,--,--,--,--,--,--,--,--,--,--,3165.168,3165.168,3165.168,4220.224,3165.168,3165.168,2110.112
Slovenia,SVN,--,--,--,--,--,--,--,--,--,--,--,--,,112.121,89.696,89.696,44.971,58.303,44.848,44.848
Sweden,SWE,1146.095,228.593,685.778,914.371,458.438,228.593,166.873,166.873,128.199,127.849,127.849,85.232,42.733,23.676,191.749,191.773,0,0,0,0
Syria,SYR,388521.423,393535.851,379820.124,395645.963,404086.41,422022.36,460004.372,545463.9,629868.372,806062.708,920008.745,1166891.825,1143680.596,1313544.596,1328315.378,1363132.223,1384233.341,1330425.49,1311434.484,1275562.583
Thailand,THA,717.429,717.433,14770.783,26376.398,44312.348,82294.36,85459.528,80184.248,87569.64,97065.143,106560.646,111835.925,124496.596,126606.708,136102.211,124496.596,148762.882,175139.279,182524.671,204680.845
Tajikistan,TJK,--,--,--,--,--,--,--,--,--,--,--,--,2110.112,1055.056,905.744,1055.056,908.226,1055.056,905.744,905.744
Turkmenistan,TKM,--,--,--,--,--,--,--,--,--,--,--,--,222616.795,179359.503,174084.224,158258.385,173029.168,201515.677,248993.192,314406.658
Timor-Leste,TLS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trinidad and Tobago,TTO,490740.47,557069.515,417802.136,371379.677,395645.963,406196.522,389315.627,363994.286,365049.341,357663.95,348168.447,350278.559,318626.882,313351.602,305966.211,303856.099,302801.043,288030.261,284865.093,290140.373
Tunisia,TUN,241139.377,258488.696,262708.919,262708.919,262708.919,248993.192,242662.857,232112.298,225781.963,230002.186,203625.789,226837.019,238442.633,214176.348,201515.677,194130.286,190965.118,183579.727,175139.279,181469.615
Turkiye,TUR,106151.217,105505.59,115001.093,101285.366,94955.031,93899.975,105505.59,117111.205,115001.093,128716.82,167753.888,202570.733,194130.286,175139.279,165643.776,154038.161,155093.217,156148.273,149817.938,136102.211
Taiwan,TWN,12196.562,7385.391,7385.391,7385.391,7385.391,5275.28,5275.28,7385.391,5275.28,5275.28,7385.391,5275.28,5275.28,3165.168,3165.168,3165.168,3165.168,2110.112,2110.112,2110.112
Ukraine,UKR,--,--,--,--,--,--,--,--,--,--,--,--,163533.665,149817.938,142432.547,136102.211,133992.099,128716.82,122386.484,120276.373
United States,USA,19254465.897,19146099.417,19318073.529,19404588.113,19885693.603,20037621.653,19387707.218,18648113.033,18231365.952,17004335.94,16428275.419,16566487.742,16061115.966,15293035.271,14879453.358,14652616.339,14479587.172,14411008.538,13963664.837,13135445.955
Uzbekistan,UZB,--,--,--,--,--,--,--,--,--,--,--,--,81239.304,106560.646,169864,260598.807,260598.807,253213.416,262708.919,231057.242
Venezuela,VEN,5177085.228,5006240.246,4512474.084,4288802.234,4259260.668,3961734.905,4222333.712,4138984.296,4508253.861,4505088.693,5048442.482,5610787.276,5617117.612,5788036.667,6114048.941,6497034.232,6960203.772,7749385.586,7482456.443,6676393.735
Vietnam,VNM,,,,,,,2110.112,11605.615,34816.845,73853.913,116056.149,185689.838,246883.081,278534.758,327067.329,400921.242,407251.577,443123.478,570785.242,672070.608
World,WORL,61744150.181,52115541.238,43627616.522,40882361.07,40947774.535,38089628.103,43264677.292,43435596.347,48129540.049,52010035.648,54758456.267,54986348.342,57933119.472,135819456.124,138056174.636,140891109.828,144410776.316,148517053.88,151285520.558,148815634.704
Yemen,YEM,,,,,,,22156.174,44312.348,382985.292,428352.695,425187.528,434683.031,401976.298,485325.714,738539.13,760695.304,751199.801,797622.26,855650.335,902072.795
Former Yugoslavia,YUG,193375.655,193075.23,195185.342,185689.838,179359.503,193075.23,188855.006,177249.391,168808.944,157203.329,143487.602,135047.155,--,--,--,--,--,--,--,--
South Africa,ZAF,,,,,,,,,,,,,,,,,,,39037.068,54862.907
