Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Colombia,COL,6.811537253,7.9,7.4,10,11,12,11,12,12,14,14,14,16,17,18,14,21,22,17,21,25,24,24,21,19,21,22,22,22,21,19,17,18,NA,NA
Comoros,COM,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,0.09534,0.09534,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,NA,NA
Costa Rica,CRI,0.692272465,0.7,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.8,1,0.9,2,0.8,1.4,1.6,1.9,2.3,2.9,2.4,3.3,3.4,3.3,2.9,3.2,3.5,3.4,3.4,3.6,3.7,3.8,NA,NA
Central & South America,CSAM,NA,NA,NA,NA,NA,NA,255.4,267,299.9,304.9,324.3,339.7,351.2,370.6,394.1,399.4,427,443.4,458.6,490.3,510.2,503,491.8,471.1,502.3,510.6,534.7,570.9,596.6,563,589.7,590.9,630.3,NA,NA
Former Czechoslovakia,CSK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cuba,CUB,3.179349905,3.3,3,3,3.3,3.6,4.2,4.4,3.9,4.3,4.3,4.2,2.8,2.9,3.1,3,2.9,2.9,3.3,3.1,4.1,4.6,4.7,5.6,5.7,6.1,5.3,3.5,3.6,3.8,4.1,3.7,3.7,NA,NA
Cayman Islands,CYM,NA,NA,NA,NA,NA,NA,0.03178,0.06356,0.06338,0.06356,0.09534,0.06356,0.09508,0.09534,0.09534,0.09508,0.09508,0.09534,0.09534,0.0953424657534247,0.0950819672131148,0.0953424657534247,0.0953424657534247,0.0953424657534247,0.1,0.0953424657534247,0.1,0.2,0.2,0.0635616438356164,0.0635616438356164,0.0635616438356164,0.0635616438356164,NA,NA
Cyprus,CYP,1.024498341,1,1.1,1.2,1.2,1.2,1.4,1.5,1.6,1.5,1.6,1.6,1.8,1.6,1.5,1.5,1.6,1.6,1.6,1.4,1.7,1.7,1.7,1.8,1.8,1.5,1.7,1.6,1.7,1.6,1.6,1.7,1.7,NA,NA
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,3.3,3.6,5.7,5.8,6.9,7.4,7.8,8.4,8.7,7.7,7.8,9,8.3,7.7,6.8,6.9,6,5.9,6,6.6,7.4,NA
East,DDR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,94,94,96,109,107,105,98,92,84,87,90,83,86,87,90,92,96,102,101,106,102,104,109,NA
West,DEUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Djibouti,DJI,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,1,1,1,1,1,1,1,NA,NA
