Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Venezuela,VEN,,,,,NA,NA,13,13,21,21,15,23,13,23,26,28,28,28,20,20,11,12,11,9.4,12,13,26,18,19,19,18,20,18,30,28.9920821917808,
British Virgin Islands,VGB,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
U.S. Virgin Islands,VIR,,,,,,,8.7,3.3,2.8,2.9,2.9,2.9,2.6,3.1,3.3,3.3,3.7,3.7,3.7,3.7,3.9,3.9,4,13,13,13,13,13,0,0,0,0,0,0,0,
Vietnam,VNM,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74366120218579,6.02627397260274,6.83964383561644,7.32356164383561,11.0162568306011,11.21676712328767,11.78504109589041,12.69838356164384,14.34674863387978,16.00243835616437,20.11290410958904,15.95134246575342,16.99480874316937,18.75008219178087,18.6637808219178,23.35320547945202
Vanuatu,VUT,,,,,NA,NA,0.4,0,0.4,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.203342465753425,
Wake Island,WAK,,,,,NA,NA,8.1,7.6,8.2,8.2,8,8.2,0,8.3,8.3,8.4,8.4,8.8,8.8,8.8,8.9,8.9,9,9,9,9,8.2,8.2,6.2,8.2,7.9,8.2,8.2,8.2,8.15,
World,WORL,,896,742,675,677.4,715.6,1790.2,1765.8,2520.3,2626.4,2673.8,2945.5,2806.3,2956.6,3011.8,3137.1,3215.2,3512.4,3649.5,3636.8,3348.897513661202,3342.7761369863015,3586.1916712328766,4045.894191780822,4512.480166666666,4440.223123287671,4569.50630539726,4918.653863013704,4976.010634555,4930.5357416438355,5366.069338656229,5406.351394363993,5444.944553817829,5643.163792542215,5673.064929094512,1184.868356164384
Samoa,WSM,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kosovo,XKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.0434520547945205,
Yemen,YEM,,,,,NA,NA,2.9,7.1,6.8,6.2,7.5,7.3,2.8,3.4,2.8,3,3.2,4.2,3.2,3.2,1.9,1.9,2.3,2.4,4.6,4.6,4.9,5.2,4.9,4.9,4.7,3.3,2.7,4.1,3.738383561643838,
Former Yugoslavia,YUG,,,,,NA,NA,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
South Africa,ZAF,,,,,NA,NA,59,60,61,61,61,61,38,47,49,58,56,44,51,59,49,58,55,69,58,59,65,65,70,69,76,77,86,83,69.1241095890411,
Zambia,ZMB,,,,,NA,NA,0.7,0.8,0.8,0.8,0.8,0.8,0,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0.0729508196721312,0.3,1.2,1.2,0.8,0.9,0.6,0.7,1.1,1.1,0.849972602739726,
Zimbabwe,ZWE,,,,,NA,NA,2.2,2.1,1.7,1.8,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.244301369863014,
